index,type,weight,price
192,Crab,36.0,28.99
193,Scallop,36.0,21.99
194,Fish,28.0,11.99
195,Fish,21.0,11.99
196,Crab,50.0,28.99
197,Fish,26.0,11.99
198,Fish,22.0,11.99
199,Fish,49.0,11.99
200,Scallop,22.0,21.99
201,Crab,57.0,28.99
202,Fish,41.0,11.99
203,Crab,20.0,28.99
204,Crab,31.0,28.99
205,Crab,40.0,28.99
206,Scallop,43.0,21.99
207,Crab,43.0,28.99
208,Crab,59.0,28.99
209,Crab,21.0,28.99
210,Fish,20.0,11.99
211,Shrimp,39.0,16.99
212,Fish,37.0,11.99
213,Crab,31.0,28.99
214,Shrimp,40.0,16.99
215,Fish,39.0,11.99
216,Crab,47.0,28.99
217,Fish,43.0,11.99
218,Shrimp,25.0,16.99
219,Crab,49.0,28.99
220,Crab,28.0,28.99
221,Crab,59.0,28.99
222,Shrimp,36.0,16.99
223,Crab,51.0,28.99
224,Shrimp,59.0,16.99
225,Crab,43.0,28.99
226,Shrimp,41.0,16.99
227,Fish,31.0,11.99
228,Scallop,27.0,21.99
229,Crab,34.0,28.99
230,Crab,27.0,28.99
231,Scallop,29.0,21.99
232,Scallop,37.0,21.99
233,Crab,59.0,28.99
234,Scallop,27.0,21.99
235,Scallop,20.0,21.99
236,Crab,52.0,28.99
237,Crab,33.0,28.99
238,Shrimp,51.0,16.99
239,Crab,34.0,28.99
240,Scallop,53.0,21.99
241,Crab,43.0,28.99
242,Fish,20.0,11.99
243,Crab,31.0,28.99
244,Scallop,28.0,21.99
245,Scallop,47.0,21.99
246,Fish,54.0,11.99
247,Scallop,47.0,21.99
248,Crab,55.0,28.99
249,Crab,24.0,28.99
250,Crab,39.0,28.99
251,Crab,20.0,28.99
252,Fish,43.0,11.99
253,Scallop,38.0,21.99
254,Crab,47.0,28.99
255,Scallop,57.0,21.99
256,Crab,39.0,28.99
257,Scallop,23.0,21.99
258,Crab,40.0,28.99
259,Scallop,26.0,21.99
260,Scallop,49.0,21.99
261,Scallop,50.0,21.99
262,Crab,60.0,28.99
263,Crab,37.0,28.99
264,Fish,53.0,11.99
265,Scallop,59.0,21.99
266,Scallop,53.0,21.99
267,Scallop,58.0,21.99
268,Shrimp,49.0,16.99
269,Crab,39.0,28.99
270,Crab,41.0,28.99
271,Shrimp,36.0,16.99
272,Scallop,39.0,21.99
273,Crab,22.0,28.99
274,Crab,32.0,28.99
275,Fish,39.0,11.99
276,Scallop,42.0,21.99
277,Scallop,43.0,21.99
278,Crab,43.0,28.99
279,Crab,35.0,28.99
280,Fish,55.0,11.99
281,Shrimp,25.0,16.99
282,Crab,42.0,28.99
283,Crab,50.0,28.99
284,Crab,49.0,28.99
285,Crab,53.0,28.99
286,Crab,51.0,28.99
287,Fish,53.0,11.99
288,Crab,35.0,28.99
289,Crab,51.0,28.99
290,Crab,36.0,28.99
291,Fish,34.0,11.99
292,Fish,34.0,11.99
293,Scallop,35.0,21.99
294,Crab,23.0,28.99
295,Crab,50.0,28.99
296,Crab,27.0,28.99
297,Scallop,36.0,21.99
298,Crab,27.0,28.99
299,Fish,36.0,11.99
