index,type,weight,price
136,Fish,57.0,11.99
137,Crab,49.0,28.99
138,Fish,40.0,11.99
139,Fish,59.0,11.99
140,Crab,43.0,28.99
141,Crab,57.0,28.99
142,Scallop,55.0,21.99
143,Scallop,36.0,21.99
144,Crab,26.0,28.99
145,Scallop,30.0,21.99
146,Crab,31.0,28.99
147,Fish,45.0,11.99
148,Crab,30.0,28.99
149,Crab,54.0,28.99
150,Crab,53.0,28.99
151,Shrimp,57.0,16.99
152,Fish,44.0,11.99
153,Crab,54.0,28.99
154,Crab,56.0,28.99
155,Crab,53.0,28.99
156,Shrimp,45.0,16.99
157,Crab,30.0,28.99
158,Fish,31.0,11.99
159,Scallop,43.0,21.99
160,Fish,30.0,11.99
161,Fish,22.0,11.99
162,Crab,29.0,28.99
163,Scallop,52.0,21.99
164,Shrimp,58.0,16.99
165,Scallop,21.0,21.99
166,Fish,24.0,11.99
167,Crab,24.0,28.99
168,Scallop,20.0,21.99
169,Fish,35.0,11.99
170,Crab,38.0,28.99
171,Crab,33.0,28.99
172,Crab,59.0,28.99
173,Crab,59.0,28.99
174,Shrimp,48.0,16.99
175,Scallop,39.0,21.99
176,Crab,43.0,28.99
177,Crab,56.0,28.99
178,Crab,21.0,28.99
179,Fish,43.0,11.99
180,Crab,58.0,28.99
181,Fish,59.0,11.99
182,Fish,21.0,11.99
183,Scallop,50.0,21.99
184,Crab,40.0,28.99
185,Shrimp,39.0,16.99
186,Shrimp,34.0,16.99
187,Crab,51.0,28.99
188,Crab,53.0,28.99
189,Shrimp,43.0,16.99
190,Fish,45.0,11.99
191,Scallop,44.0,21.99
192,Fish,34.0,11.99
193,Crab,25.0,28.99
194,Fish,34.0,11.99
195,Shrimp,48.0,16.99
196,Fish,36.0,11.99
197,Fish,29.0,11.99
198,Crab,34.0,28.99
199,Fish,43.0,11.99
200,Shrimp,50.0,16.99
201,Scallop,24.0,21.99
202,Fish,59.0,11.99
203,Scallop,43.0,21.99
204,Shrimp,26.0,16.99
205,Crab,31.0,28.99
206,Scallop,45.0,21.99
207,Fish,44.0,11.99
208,Crab,37.0,28.99
209,Shrimp,38.0,16.99
210,Scallop,60.0,21.99
211,Shrimp,25.0,16.99
212,Shrimp,28.0,16.99
213,Crab,21.0,28.99
214,Shrimp,43.0,16.99
215,Shrimp,41.0,16.99
216,Crab,25.0,28.99
217,Shrimp,43.0,16.99
218,Fish,59.0,11.99
219,Shrimp,42.0,16.99
220,Fish,47.0,11.99
221,Shrimp,37.0,16.99
222,Shrimp,39.0,16.99
223,Crab,32.0,28.99
224,Shrimp,42.0,16.99
225,Crab,47.0,28.99
226,Fish,30.0,11.99
227,Crab,41.0,28.99
228,Shrimp,51.0,16.99
229,Scallop,37.0,21.99
230,Crab,50.0,28.99
231,Fish,33.0,11.99
232,Shrimp,54.0,16.99
233,Scallop,31.0,21.99
234,Scallop,27.0,21.99
235,Crab,55.0,28.99
236,Crab,28.0,28.99
237,Fish,47.0,11.99
238,Crab,35.0,28.99
239,Crab,20.0,28.99
240,Shrimp,40.0,16.99
241,Crab,36.0,28.99
242,Scallop,53.0,21.99
243,Crab,38.0,28.99
244,Shrimp,44.0,16.99
245,Fish,20.0,11.99
246,Fish,56.0,11.99
247,Shrimp,48.0,16.99
248,Crab,39.0,28.99
249,Shrimp,23.0,16.99
250,Fish,60.0,11.99
251,Crab,25.0,28.99
252,Crab,48.0,28.99
253,Crab,45.0,28.99
254,Crab,21.0,28.99
255,Shrimp,53.0,16.99
256,Crab,47.0,28.99
257,Crab,29.0,28.99
258,Scallop,56.0,21.99
259,Fish,54.0,11.99
260,Shrimp,51.0,16.99
261,Scallop,55.0,21.99
262,Fish,39.0,11.99
263,Crab,49.0,28.99
264,Crab,42.0,28.99
265,Crab,41.0,28.99
266,Shrimp,51.0,16.99
267,Crab,57.0,28.99
268,Crab,48.0,28.99
269,Scallop,45.0,21.99
270,Crab,60.0,28.99
271,Fish,51.0,11.99
272,Scallop,39.0,21.99
273,Scallop,59.0,21.99
274,Shrimp,40.0,16.99
275,Fish,56.0,11.99
276,Scallop,46.0,21.99
277,Fish,56.0,11.99
278,Scallop,26.0,21.99
279,Fish,23.0,11.99
280,Fish,36.0,11.99
281,Crab,29.0,28.99
282,Crab,27.0,28.99
283,Crab,48.0,28.99
284,Scallop,49.0,21.99
285,Crab,46.0,28.99
286,Fish,47.0,11.99
287,Crab,43.0,28.99
288,Fish,26.0,11.99
289,Fish,37.0,11.99
290,Fish,33.0,11.99
291,Scallop,21.0,21.99
292,Crab,31.0,28.99
293,Shrimp,56.0,16.99
294,Fish,34.0,11.99
295,Shrimp,35.0,16.99
296,Fish,60.0,11.99
297,Crab,55.0,28.99
298,Shrimp,58.0,16.99
299,Fish,20.0,11.99
